incident_id,start_time,end_time,duration_min,severity,tower,service,host,root_cause,status,alert_volume,error_count,warn_count,info_count,cpu_util_peak,memory_util_peak,disk_util_peak,latency_max_ms,impacted_services
INC-004225,2024-01-01 18:45:22.273007,2024-01-01 20:34:22.273007,109,P3 Medium,Cloud,message-broker,host-011,Cloud Resource Exhaustion,resolved,7,68,238,169,72.1,12.3,46.3,323.0,2
INC-001285,2024-01-01 18:57:20.331272,2024-01-01 19:56:20.331272,59,P4 Low,Storage,message-broker,host-031,Network Failure,mitigated,9,34,297,4766,36.7,34.3,34.4,8277.0,5
INC-003435,2024-01-01 19:48:19.756667,2024-01-01 21:06:19.756667,78,P2 High,Network,api-gateway,host-017,Network Failure,resolved,27,2642,593,2313,41.1,55.0,58.1,12934.0,6
INC-000420,2024-01-01 20:12:52.522646,2024-01-01 23:29:52.522646,197,P2 High,Database,api-gateway,host-040,Database Failure,resolved,48,1719,595,3051,57.6,31.8,27.7,2502.0,5
INC-004455,2024-01-01 21:01:51.112218,2024-01-01 21:47:51.112218,46,P2 High,Cloud,notification-service,host-040,Database Failure,mitigated,41,2639,30,3526,27.0,43.6,33.9,5131.0,1
INC-003218,2024-01-01 21:14:26.114393,2024-01-01 21:52:26.114393,38,P3 Medium,Application,notification-service,host-029,Service Crash,investigating,3,78,263,1319,10.3,39.6,30.3,901.0,8
INC-004955,2024-01-01 22:25:26.513853,2024-01-01 23:14:26.513853,49,P2 High,Database,api-gateway,host-008,Database Failure,investigating,43,1536,515,3642,25.2,18.6,27.0,3611.0,8
INC-003515,2024-01-01 23:46:08.541478,2024-01-02 00:06:08.541478,20,P3 Medium,Cloud,inventory-api,host-023,Cloud Resource Exhaustion,resolved,9,72,313,2808,75.7,34.5,68.9,726.0,5
INC-001222,2024-01-02 00:02:40.920613,2024-01-02 00:21:40.920613,19,P3 Medium,Network,analytics-engine,host-013,Network Failure,resolved,9,47,478,2113,25.8,52.3,21.5,15163.0,5
INC-003443,2024-01-02 01:56:03.363628,2024-01-02 02:40:03.363628,44,P3 Medium,Cloud,api-gateway,host-017,Database Failure,resolved,10,40,488,1144,36.5,14.1,64.3,18789.0,7
INC-002881,2024-01-02 02:00:06.735823,2024-01-02 03:29:06.735823,89,P3 Medium,Network,reporting-service,host-045,Service Crash,resolved,9,92,671,4191,58.9,12.6,63.4,246.0,2
INC-003305,2024-01-02 02:33:39.988975,2024-01-02 09:08:39.988975,395,P1 Critical,Network,reporting-service,host-013,Service Crash,investigating,16,94,973,3192,11.9,16.4,63.1,896.0,6
INC-000457,2024-01-02 03:06:21.510508,2024-01-02 03:36:21.510508,30,P4 Low,Storage,payment-gateway,host-012,Service Crash,resolved,8,68,45,173,51.4,30.7,23.1,126.0,6
INC-003631,2024-01-02 03:14:09.654594,2024-01-02 04:11:09.654594,57,P4 Low,Network,reporting-service,host-037,Network Failure,resolved,3,8,596,174,26.4,36.8,40.6,14737.0,3
INC-003846,2024-01-02 04:19:36.957209,2024-01-02 04:48:36.957209,29,P3 Medium,Cloud,notification-service,host-034,Cloud Resource Exhaustion,resolved,8,6,284,1162,79.7,26.3,31.1,994.0,4
INC-001462,2024-01-02 07:09:26.554045,2024-01-02 09:40:26.554045,151,P1 Critical,Cloud,analytics-engine,host-021,Network Failure,resolved,8,3132,252,4926,17.9,24.6,50.8,16989.0,2
INC-001145,2024-01-02 08:23:50.649369,2024-01-02 11:57:50.649369,214,P2 High,Cloud,reporting-service,host-006,Cloud Resource Exhaustion,resolved,20,611,911,232,94.8,10.2,19.4,769.0,4
INC-000982,2024-01-02 10:05:39.160583,2024-01-02 10:58:39.160583,53,P4 Low,Compute,message-broker,host-043,Memory Leak,mitigated,1,7,968,2697,11.1,87.4,21.7,912.0,8
INC-003424,2024-01-02 11:08:53.907739,2024-01-02 13:14:53.907739,126,P2 High,Database,message-broker,host-048,Service Crash,resolved,26,4176,816,3302,36.8,34.4,32.9,923.0,6
INC-002012,2024-01-02 11:16:23.642413,2024-01-02 11:50:23.642413,34,P3 Medium,Database,reporting-service,host-034,Memory Leak,resolved,6,18,158,1321,42.7,75.5,41.5,329.0,3
INC-003310,2024-01-02 12:52:58.275629,2024-01-02 13:11:58.275629,19,P3 Medium,Cloud,reporting-service,host-010,Cloud Resource Exhaustion,resolved,3,26,728,179,55.9,10.6,39.0,921.0,5
INC-000625,2024-01-02 13:57:59.152133,2024-01-02 15:04:59.152133,67,P3 Medium,Application,cache-cluster,host-006,CPU Saturation,resolved,9,78,210,4400,51.8,26.1,35.2,673.0,8
INC-000717,2024-01-02 15:25:28.741442,2024-01-02 16:53:28.741442,88,P3 Medium,Database,notification-service,host-046,Database Failure,resolved,2,97,148,1287,22.4,58.6,46.2,6797.0,7
INC-003796,2024-01-02 15:42:06.863694,2024-01-02 16:07:06.863694,25,P3 Medium,Network,order-service,host-039,CPU Saturation,resolved,10,51,494,4553,91.0,35.1,55.9,313.0,1
INC-001514,2024-01-02 15:46:12.302392,2024-01-02 16:48:12.302392,62,P2 High,Network,payment-gateway,host-031,Disk Failure,resolved,15,1156,133,2992,25.7,16.4,97.5,988.0,6
INC-001409,2024-01-02 15:46:45.844785,2024-01-02 16:45:45.844785,59,P4 Low,Storage,inventory-api,host-002,Disk Failure,resolved,3,14,619,2729,22.6,18.2,99.0,652.0,3
INC-004514,2024-01-02 16:31:00.903502,2024-01-02 18:04:00.903502,93,P3 Medium,Database,payment-gateway,host-046,Memory Leak,investigating,6,80,643,3349,30.4,73.8,64.5,839.0,2
INC-000771,2024-01-02 17:18:01.096951,2024-01-02 17:41:01.096951,23,P3 Medium,Compute,auth-service,host-050,CPU Saturation,resolved,2,55,703,4845,62.2,13.5,29.5,188.0,4
INC-003317,2024-01-02 17:41:10.094858,2024-01-02 19:12:10.094858,91,P2 High,Cloud,payment-gateway,host-033,CPU Saturation,investigating,2,1738,354,4315,91.1,17.6,58.4,583.0,8
INC-001801,2024-01-02 20:21:10.061800,2024-01-02 22:00:10.061800,99,P2 High,Network,inventory-api,host-002,Service Crash,resolved,16,694,156,3786,59.0,47.1,68.6,336.0,1
INC-004383,2024-01-02 20:42:58.951246,2024-01-02 21:34:58.951246,52,P2 High,Cloud,cache-cluster,host-008,Kubernetes Pod Failure,mitigated,18,1058,419,2935,33.6,44.7,18.7,650.0,4
INC-002195,2024-01-02 20:53:29.353332,2024-01-03 02:21:29.353332,328,P1 Critical,Compute,cache-cluster,host-010,CPU Saturation,resolved,8,2340,782,3735,54.6,59.8,22.7,623.0,1
INC-003206,2024-01-02 21:35:28.600351,2024-01-03 00:41:28.600351,186,P1 Critical,Cloud,inventory-api,host-008,Cloud Resource Exhaustion,mitigated,24,2456,602,1008,59.2,26.8,32.9,842.0,8
INC-001763,2024-01-03 00:02:52.844181,2024-01-03 00:13:52.844181,11,P4 Low,Application,notification-service,host-006,Service Crash,resolved,9,89,766,1043,47.3,53.9,45.4,948.0,4
INC-003156,2024-01-03 00:09:40.954406,2024-01-03 03:23:40.954406,194,P1 Critical,Database,inventory-api,host-017,CPU Saturation,investigating,22,2189,98,2917,91.2,14.1,18.0,679.0,6
INC-000079,2024-01-03 02:40:57.166678,2024-01-03 04:12:57.166678,92,P3 Medium,Database,notification-service,host-046,Memory Leak,mitigated,7,30,729,3545,49.3,80.6,24.7,780.0,6
INC-000347,2024-01-03 03:08:43.039216,2024-01-03 03:58:43.039216,50,P4 Low,Cloud,inventory-api,host-049,Disk Failure,resolved,8,55,618,1354,23.0,51.8,89.1,238.0,7
INC-000889,2024-01-03 03:31:18.883611,2024-01-03 10:24:18.883611,413,P1 Critical,Network,reporting-service,host-017,Memory Leak,resolved,21,3272,660,3085,30.3,87.9,37.7,680.0,4
INC-003120,2024-01-03 04:08:52.100244,2024-01-03 09:54:52.100244,346,P1 Critical,Storage,notification-service,host-013,Memory Leak,resolved,23,1526,117,1851,56.7,73.1,15.2,816.0,5
INC-002302,2024-01-03 05:56:06.002975,2024-01-03 06:30:06.002975,34,P3 Medium,Application,notification-service,host-027,CPU Saturation,mitigated,3,92,251,256,74.9,61.7,39.8,816.0,4
INC-001016,2024-01-03 08:08:27.249571,2024-01-03 10:12:27.249571,124,P2 High,Storage,order-service,host-022,Disk Failure,investigating,32,1987,767,3594,33.9,18.7,94.6,331.0,4
INC-003563,2024-01-03 08:30:05.809602,2024-01-03 08:54:05.809602,24,P3 Medium,Compute,analytics-engine,host-013,Service Crash,resolved,1,92,425,310,52.4,32.4,44.4,512.0,1
INC-003274,2024-01-03 09:21:19.533116,2024-01-03 12:06:19.533116,165,P2 High,Compute,api-gateway,host-018,Network Failure,resolved,6,1220,255,926,21.3,15.4,65.4,4964.0,5
INC-002920,2024-01-03 10:26:28.003012,2024-01-03 12:21:28.003012,115,P2 High,Compute,message-broker,host-006,Cloud Resource Exhaustion,mitigated,33,1966,266,4044,85.6,10.6,10.9,965.0,4
INC-004408,2024-01-03 10:27:19.920384,2024-01-03 11:07:19.920384,40,P4 Low,Cloud,inventory-api,host-022,Cloud Resource Exhaustion,resolved,1,67,913,1426,71.9,48.5,32.0,558.0,7
INC-001323,2024-01-03 10:32:48.544725,2024-01-03 11:18:48.544725,46,P2 High,Database,order-service,host-011,Memory Leak,resolved,32,875,226,3236,51.7,95.6,66.6,396.0,3
INC-001781,2024-01-03 11:25:17.328310,2024-01-03 13:21:17.328310,116,P3 Medium,Network,order-service,host-013,Network Failure,investigating,9,19,451,4937,50.0,44.3,33.6,8152.0,3
INC-004626,2024-01-03 12:44:27.820174,2024-01-03 13:33:27.820174,49,P3 Medium,Cloud,api-gateway,host-002,Cloud Resource Exhaustion,resolved,10,12,872,3796,90.2,61.7,13.6,872.0,3
INC-004005,2024-01-03 17:22:14.439962,2024-01-03 17:43:14.439962,21,P4 Low,Network,cache-cluster,host-031,Service Crash,mitigated,5,25,214,761,50.5,45.6,36.7,655.0,2
INC-002823,2024-01-03 18:06:54.626633,2024-01-03 18:34:54.626633,28,P4 Low,Cloud,reporting-service,host-008,Cloud Resource Exhaustion,mitigated,10,81,418,1184,56.6,11.5,36.4,717.0,2
INC-000496,2024-01-03 18:10:22.254336,2024-01-03 18:48:22.254336,38,P3 Medium,Network,message-broker,host-038,Network Failure,investigating,8,30,125,2480,30.8,39.7,61.1,4695.0,4
INC-000999,2024-01-03 18:33:27.039237,2024-01-03 19:21:27.039237,48,P3 Medium,Cloud,notification-service,host-013,Cloud Resource Exhaustion,resolved,3,6,237,2216,69.9,31.2,18.1,797.0,5
INC-004760,2024-01-03 18:41:37.089755,2024-01-03 19:30:37.089755,49,P4 Low,Compute,reporting-service,host-022,Memory Leak,mitigated,9,88,589,2340,31.7,87.3,25.1,759.0,6
INC-002877,2024-01-03 19:07:08.941209,2024-01-03 22:02:08.941209,175,P2 High,Storage,api-gateway,host-044,Service Crash,resolved,27,1868,160,1034,44.5,42.8,37.6,300.0,1
INC-001394,2024-01-03 20:28:06.726500,2024-01-03 21:36:06.726500,68,P2 High,Database,analytics-engine,host-034,Database Failure,investigating,33,2857,163,486,27.0,10.6,30.4,19052.0,6
INC-004978,2024-01-03 23:37:36.736627,2024-01-03 23:47:36.736627,10,P4 Low,Application,auth-service,host-028,CPU Saturation,resolved,5,93,762,3149,65.7,19.7,37.9,499.0,8
INC-002029,2024-01-03 23:40:40.421016,2024-01-04 00:59:40.421016,79,P2 High,Application,auth-service,host-032,Kubernetes Pod Failure,resolved,28,2196,215,3614,17.8,40.8,52.9,233.0,2
INC-001912,2024-01-04 00:15:19.456746,2024-01-04 00:50:19.456746,35,P4 Low,Database,analytics-engine,host-023,Database Failure,mitigated,2,34,900,3813,29.6,53.7,64.5,4779.0,1
INC-003306,2024-01-04 00:38:52.520991,2024-01-04 03:53:52.520991,195,P2 High,Database,reporting-service,host-011,Database Failure,resolved,16,4254,934,1506,54.4,44.2,26.0,7336.0,4
INC-000950,2024-01-04 01:57:11.193249,2024-01-04 03:43:11.193249,106,P3 Medium,Storage,inventory-api,host-027,CPU Saturation,resolved,9,85,356,4943,56.5,56.9,20.6,528.0,8
INC-002965,2024-01-04 04:10:08.394442,2024-01-04 04:40:08.394442,30,P4 Low,Compute,cache-cluster,host-019,Service Crash,mitigated,3,55,380,2233,39.4,36.1,22.0,951.0,7
INC-000041,2024-01-04 04:20:56.709797,2024-01-04 05:14:56.709797,54,P4 Low,Storage,analytics-engine,host-046,Disk Failure,resolved,1,46,331,2038,15.8,13.1,87.1,511.0,5
INC-002040,2024-01-04 04:46:43.163384,2024-01-04 04:52:43.163384,6,P4 Low,Application,inventory-api,host-013,Cloud Resource Exhaustion,resolved,6,20,394,4831,62.1,36.9,46.6,703.0,2
INC-001909,2024-01-04 05:46:10.069131,2024-01-04 06:16:10.069131,30,P2 High,Compute,auth-service,host-006,Service Crash,resolved,23,1647,673,3965,29.5,50.3,67.9,565.0,5
INC-001925,2024-01-04 06:06:47.441265,2024-01-04 06:29:47.441265,23,P3 Medium,Network,inventory-api,host-020,Database Failure,investigating,3,62,334,4444,24.4,37.0,46.6,14692.0,5
INC-003524,2024-01-04 06:10:41.719896,2024-01-04 08:08:41.719896,118,P3 Medium,Cloud,notification-service,host-046,Cloud Resource Exhaustion,resolved,10,51,807,698,96.6,31.3,51.9,255.0,7
INC-001359,2024-01-04 06:12:12.188367,2024-01-04 06:39:12.188367,27,P3 Medium,Cloud,reporting-service,host-047,Cloud Resource Exhaustion,investigating,2,17,414,1435,59.9,16.9,55.1,849.0,5
INC-000893,2024-01-04 07:36:53.034341,2024-01-04 08:23:53.034341,47,P4 Low,Application,payment-gateway,host-026,Service Crash,resolved,1,31,379,1429,39.9,47.6,32.5,332.0,1
INC-003388,2024-01-04 07:46:21.502398,2024-01-04 09:47:21.502398,121,P1 Critical,Cloud,analytics-engine,host-011,Cloud Resource Exhaustion,investigating,30,657,535,3075,73.6,22.0,30.4,543.0,5
INC-002951,2024-01-04 07:47:40.155122,2024-01-04 07:59:40.155122,12,P4 Low,Storage,analytics-engine,host-031,Disk Failure,resolved,7,4,458,1034,13.8,21.8,84.3,858.0,2
INC-003508,2024-01-04 08:36:57.239388,2024-01-04 15:31:57.239388,415,P1 Critical,Cloud,message-broker,host-015,Database Failure,mitigated,31,4578,159,3745,26.8,18.2,38.0,5573.0,8
INC-000478,2024-01-04 09:23:34.127887,2024-01-04 09:55:34.127887,32,P3 Medium,Application,auth-service,host-011,Service Crash,resolved,7,74,95,819,52.3,39.5,57.1,969.0,7
INC-004296,2024-01-04 09:40:30.288226,2024-01-04 13:02:30.288226,202,P2 High,Storage,reporting-service,host-042,Disk Failure,mitigated,36,4924,883,133,43.2,49.5,83.9,976.0,2
INC-002190,2024-01-04 11:20:01.510153,2024-01-04 11:58:01.510153,38,P3 Medium,Network,payment-gateway,host-011,Network Failure,resolved,7,51,89,538,52.1,18.3,24.6,11675.0,3
INC-000676,2024-01-04 11:47:26.347207,2024-01-04 14:48:26.347207,181,P1 Critical,Application,order-service,host-008,Service Crash,resolved,43,316,780,4913,58.4,23.7,11.9,350.0,3
INC-001056,2024-01-04 12:21:21.180297,2024-01-04 15:08:21.180297,167,P2 High,Cloud,inventory-api,host-001,Cloud Resource Exhaustion,mitigated,39,4526,97,4842,50.1,44.7,13.2,946.0,6
INC-003258,2024-01-04 13:47:49.394241,2024-01-04 14:31:49.394241,44,P3 Medium,Network,inventory-api,host-010,Network Failure,resolved,1,36,167,3503,35.1,43.8,65.2,8989.0,5
INC-001115,2024-01-04 13:52:37.248466,2024-01-04 14:35:37.248466,43,P4 Low,Network,api-gateway,host-022,Network Failure,resolved,1,4,950,2707,40.3,25.8,55.8,15483.0,5
INC-003538,2024-01-04 14:51:12.043785,2024-01-04 16:40:12.043785,109,P3 Medium,Network,notification-service,host-030,CPU Saturation,resolved,4,80,372,4641,54.0,15.5,52.0,475.0,8
INC-001559,2024-01-04 15:19:49.066039,2024-01-04 15:55:49.066039,36,P3 Medium,Network,auth-service,host-031,Network Failure,resolved,5,24,53,2021,48.4,43.6,69.4,16160.0,2
INC-003402,2024-01-04 15:39:51.260471,2024-01-04 19:23:51.260471,224,P2 High,Network,message-broker,host-047,Memory Leak,resolved,29,3807,833,1755,41.5,70.7,39.9,267.0,7
INC-002259,2024-01-04 15:59:31.189060,2024-01-04 18:10:31.189060,131,P2 High,Cloud,reporting-service,host-015,CPU Saturation,investigating,38,4374,79,854,73.5,38.1,30.9,499.0,1
INC-002549,2024-01-04 19:54:05.726784,2024-01-04 23:37:05.726784,223,P1 Critical,Storage,payment-gateway,host-036,Disk Failure,resolved,27,3918,413,2571,58.2,26.5,93.6,652.0,4
INC-001609,2024-01-04 21:45:33.823194,2024-01-05 04:26:33.823194,401,P1 Critical,Application,reporting-service,host-001,Service Crash,resolved,27,1503,503,675,24.5,50.4,55.2,549.0,3
INC-003998,2024-01-05 00:09:04.385709,2024-01-05 00:44:04.385709,35,P4 Low,Database,payment-gateway,host-007,Database Failure,resolved,3,65,333,831,14.3,16.5,17.8,9978.0,1
INC-003943,2024-01-05 00:15:57.508220,2024-01-05 01:05:57.508220,50,P4 Low,Cloud,analytics-engine,host-004,Cloud Resource Exhaustion,resolved,2,64,85,2316,95.9,10.6,31.0,480.0,1
INC-002736,2024-01-05 01:06:16.521605,2024-01-05 01:42:16.521605,36,P2 High,Compute,api-gateway,host-044,Network Failure,mitigated,29,3488,677,1572,23.1,25.8,34.3,3749.0,8
INC-003638,2024-01-05 01:26:26.096907,2024-01-05 04:46:26.096907,200,P2 High,Compute,reporting-service,host-018,Kubernetes Pod Failure,resolved,4,4907,925,1518,29.3,37.7,48.7,467.0,4
INC-004391,2024-01-05 02:08:40.188471,2024-01-05 02:35:40.188471,27,P4 Low,Database,analytics-engine,host-033,Database Failure,mitigated,8,8,506,4556,54.9,38.7,27.9,7612.0,3
INC-001396,2024-01-05 02:20:37.628375,2024-01-05 03:25:37.628375,65,P2 High,Storage,message-broker,host-018,CPU Saturation,investigating,7,952,725,4563,81.7,54.1,56.4,551.0,6
INC-001209,2024-01-05 02:52:23.993453,2024-01-05 03:10:23.993453,18,P4 Low,Cloud,auth-service,host-022,Cloud Resource Exhaustion,investigating,4,58,78,1362,92.1,27.1,51.6,669.0,3
INC-004448,2024-01-05 03:30:38.743966,2024-01-05 03:59:38.743966,29,P3 Medium,Application,analytics-engine,host-020,Memory Leak,resolved,3,13,92,4216,58.8,78.1,51.0,718.0,5
INC-000301,2024-01-05 04:58:52.455628,2024-01-05 06:15:52.455628,77,P3 Medium,Storage,notification-service,host-025,Service Crash,mitigated,9,72,165,1607,35.8,53.4,54.8,207.0,5
INC-004733,2024-01-05 05:38:58.432280,2024-01-05 07:15:58.432280,97,P1 Critical,Cloud,inventory-api,host-037,Kubernetes Pod Failure,resolved,16,290,719,581,24.0,62.4,44.0,279.0,5
INC-003593,2024-01-05 05:45:39.735289,2024-01-05 06:12:39.735289,27,P4 Low,Compute,api-gateway,host-034,Service Crash,resolved,8,23,142,3495,33.0,19.1,36.9,127.0,3
INC-002107,2024-01-05 06:42:52.499466,2024-01-05 10:21:52.499466,219,P2 High,Cloud,cache-cluster,host-027,Cloud Resource Exhaustion,resolved,46,2265,188,683,59.6,12.6,43.7,955.0,5
INC-002268,2024-01-05 07:13:00.887271,2024-01-05 07:49:00.887271,36,P3 Medium,Storage,message-broker,host-042,Disk Failure,mitigated,2,98,650,4148,49.6,22.8,84.7,162.0,2
INC-000256,2024-01-05 07:16:49.825851,2024-01-05 08:52:49.825851,96,P3 Medium,Application,api-gateway,host-041,Memory Leak,mitigated,6,6,759,4709,47.9,86.9,26.4,267.0,3
INC-004367,2024-01-05 07:43:01.533832,2024-01-05 07:51:01.533832,8,P4 Low,Compute,analytics-engine,host-013,CPU Saturation,investigating,4,95,744,3944,72.7,40.2,58.1,465.0,3
INC-001432,2024-01-05 08:17:30.023755,2024-01-05 09:05:30.023755,48,P3 Medium,Database,payment-gateway,host-001,Database Failure,mitigated,7,76,738,3094,40.7,24.1,56.4,6441.0,8
INC-000497,2024-01-05 08:45:13.522350,2024-01-05 11:42:13.522350,177,P2 High,Database,auth-service,host-003,Network Failure,investigating,26,2643,127,103,50.5,13.4,21.1,17197.0,4
INC-000926,2024-01-05 10:29:36.711120,2024-01-05 11:27:36.711120,58,P4 Low,Application,order-service,host-013,Service Crash,mitigated,2,24,930,1567,39.0,17.1,26.0,933.0,4
INC-003445,2024-01-05 10:33:58.531978,2024-01-05 13:01:58.531978,148,P1 Critical,Network,reporting-service,host-031,Network Failure,mitigated,4,1122,667,1934,21.5,24.6,45.1,11523.0,1
INC-001265,2024-01-05 10:45:27.789342,2024-01-05 10:58:27.789342,13,P4 Low,Cloud,cache-cluster,host-016,Database Failure,resolved,6,6,821,2584,43.0,43.4,45.3,10308.0,6
INC-003490,2024-01-05 12:00:33.042547,2024-01-05 12:39:33.042547,39,P4 Low,Application,payment-gateway,host-036,Service Crash,resolved,6,22,285,4831,30.1,30.3,31.7,905.0,2
INC-004347,2024-01-05 13:32:21.068363,2024-01-05 14:23:21.068363,51,P3 Medium,Cloud,auth-service,host-039,Cloud Resource Exhaustion,investigating,7,21,215,2850,94.6,14.6,40.0,412.0,5
INC-003558,2024-01-05 15:45:16.900701,2024-01-05 16:07:16.900701,22,P4 Low,Storage,message-broker,host-040,Disk Failure,resolved,9,64,300,1904,43.7,47.6,96.2,732.0,3
INC-003478,2024-01-05 18:00:07.283544,2024-01-05 18:15:07.283544,15,P4 Low,Cloud,order-service,host-020,Kubernetes Pod Failure,resolved,4,62,702,3718,19.3,55.4,28.9,615.0,2
INC-002303,2024-01-05 18:07:09.117585,2024-01-05 19:12:09.117585,65,P3 Medium,Storage,inventory-api,host-044,Disk Failure,resolved,2,74,479,3296,33.0,28.8,88.3,366.0,5
INC-002126,2024-01-05 18:13:06.547666,2024-01-06 00:19:06.547666,366,P1 Critical,Cloud,order-service,host-007,Kubernetes Pod Failure,resolved,21,3210,294,1495,30.7,41.3,25.7,101.0,1
INC-004041,2024-01-05 18:20:04.232758,2024-01-05 19:12:04.232758,52,P3 Medium,Network,reporting-service,host-012,Network Failure,mitigated,2,58,328,767,40.6,38.4,36.2,7811.0,2
INC-003645,2024-01-05 19:17:13.189290,2024-01-05 19:52:13.189290,35,P2 High,Compute,api-gateway,host-050,CPU Saturation,mitigated,21,277,429,174,93.5,12.0,12.2,231.0,7
INC-003292,2024-01-05 19:37:48.256821,2024-01-05 23:30:48.256821,233,P2 High,Application,inventory-api,host-025,Kubernetes Pod Failure,resolved,39,2811,254,2317,50.6,22.7,69.5,610.0,5
INC-003272,2024-01-05 20:01:42.306986,2024-01-05 20:42:42.306986,41,P3 Medium,Cloud,message-broker,host-043,Cloud Resource Exhaustion,resolved,10,69,213,4356,57.7,55.1,23.8,944.0,4
INC-002609,2024-01-05 21:36:19.830626,2024-01-06 04:38:19.830626,422,P1 Critical,Application,payment-gateway,host-002,CPU Saturation,resolved,6,1831,475,3850,64.4,24.9,54.3,817.0,1
INC-003922,2024-01-05 22:05:58.801117,2024-01-05 22:37:58.801117,32,P2 High,Database,order-service,host-050,Database Failure,resolved,28,1537,371,555,54.6,24.2,34.3,7190.0,5
INC-004532,2024-01-05 22:12:56.450637,2024-01-06 01:02:56.450637,170,P2 High,Application,inventory-api,host-050,Service Crash,resolved,13,3415,820,284,46.0,59.8,37.0,204.0,2
