incident_id,root_cause,confidence,contributing_factors,remediation,detection_lag_min,rca_created_at,analyst
INC-000147,Database Failure,0.84,disk I/O saturation; query overload,Restart DB service; check replication lag; restore from backup if needed,10,2024-01-01 02:28:31.646248,on-call-eng
INC-004225,Cloud Resource Exhaustion,0.95,IP exhaustion; EBS limit,Request quota increase; release idle resources; enable auto-scaling,14,2024-01-01 21:03:22.273007,auto-ml
INC-001285,Network Failure,0.72,BGP flap; link congestion,Check BGP routes; inspect switch logs; failover to backup link,14,2024-01-01 20:52:20.331272,auto-ml
INC-003435,Network Failure,0.97,MTU mismatch; packet loss,Check BGP routes; inspect switch logs; failover to backup link,23,2024-01-01 21:50:19.756667,auto-ml
INC-000420,Database Failure,0.96,disk I/O saturation; deadlock cascade,Restart DB service; check replication lag; restore from backup if needed,4,2024-01-02 00:20:52.522646,on-call-eng
INC-004455,Database Failure,0.9,replication lag; query overload,Restart DB service; check replication lag; restore from backup if needed,26,2024-01-01 22:33:51.112218,on-call-eng
INC-003218,Service Crash,0.97,dependency timeout cascade; unhandled exception,Redeploy service; inspect core dumps; check dependency health,22,2024-01-01 22:53:26.114393,auto-ml
INC-004955,Database Failure,0.84,disk I/O saturation; query overload,Restart DB service; check replication lag; restore from backup if needed,11,2024-01-01 23:31:26.513853,auto-ml
INC-003515,Cloud Resource Exhaustion,0.66,IP exhaustion; subnet capacity,Request quota increase; release idle resources; enable auto-scaling,18,2024-01-02 00:14:08.541478,auto-ml
INC-001222,Network Failure,0.85,BGP flap; MTU mismatch,Check BGP routes; inspect switch logs; failover to backup link,14,2024-01-02 00:34:40.920613,on-call-eng
INC-003443,Database Failure,0.74,deadlock cascade; query overload,Restart DB service; check replication lag; restore from backup if needed,22,2024-01-02 04:26:03.363628,auto-ml
INC-002881,Service Crash,0.78,dependency timeout cascade; unhandled exception,Redeploy service; inspect core dumps; check dependency health,16,2024-01-02 03:40:06.735823,on-call-eng
INC-003305,Service Crash,0.91,OOM kill; unhandled exception,Redeploy service; inspect core dumps; check dependency health,8,2024-01-02 10:31:39.988975,sre-team
INC-000457,Service Crash,0.84,unhandled exception; dependency timeout cascade,Redeploy service; inspect core dumps; check dependency health,11,2024-01-02 04:42:21.510508,sre-team
INC-003631,Network Failure,0.83,packet loss; BGP flap,Check BGP routes; inspect switch logs; failover to backup link,16,2024-01-02 04:17:09.654594,sre-team
INC-003846,Cloud Resource Exhaustion,0.69,vCPU quota hit; subnet capacity,Request quota increase; release idle resources; enable auto-scaling,21,2024-01-02 05:17:36.957209,on-call-eng
INC-001462,Network Failure,0.92,BGP flap; link congestion,Check BGP routes; inspect switch logs; failover to backup link,6,2024-01-02 11:38:26.554045,on-call-eng
INC-001145,Cloud Resource Exhaustion,0.71,vCPU quota hit; EBS limit,Request quota increase; release idle resources; enable auto-scaling,14,2024-01-02 12:10:50.649369,on-call-eng
INC-000982,Memory Leak,0.82,finalizer queue buildup; unbounded cache growth,Rolling restart of affected pods; increase heap limits; profile GC,28,2024-01-02 11:27:39.160583,auto-ml
INC-003424,Service Crash,0.82,dependency timeout cascade; OOM kill,Redeploy service; inspect core dumps; check dependency health,3,2024-01-02 13:26:53.907739,auto-ml
INC-002012,Memory Leak,0.81,unbounded cache growth; finalizer queue buildup,Rolling restart of affected pods; increase heap limits; profile GC,12,2024-01-02 13:26:23.642413,sre-team
INC-003310,Cloud Resource Exhaustion,0.76,EBS limit; vCPU quota hit,Request quota increase; release idle resources; enable auto-scaling,3,2024-01-02 14:16:58.275629,auto-ml
INC-000625,CPU Saturation,0.74,infinite loop; GC thrashing,Scale out horizontally; throttle batch jobs; identify runaway processes,20,2024-01-02 15:48:59.152133,auto-ml
INC-000717,Database Failure,0.87,disk I/O saturation; replication lag,Restart DB service; check replication lag; restore from backup if needed,5,2024-01-02 17:35:28.741442,on-call-eng
INC-003796,CPU Saturation,0.69,infinite loop; GC thrashing,Scale out horizontally; throttle batch jobs; identify runaway processes,12,2024-01-02 17:03:06.863694,on-call-eng
INC-001514,Disk Failure,0.83,filesystem corruption; bad sectors,Replace faulty disk; restore RAID; check smart data,14,2024-01-02 17:16:12.302392,sre-team
INC-001409,Disk Failure,0.96,filesystem corruption; RAID degradation,Replace faulty disk; restore RAID; check smart data,10,2024-01-02 17:00:45.844785,auto-ml
INC-004514,Memory Leak,0.85,object retention; unbounded cache growth,Rolling restart of affected pods; increase heap limits; profile GC,5,2024-01-02 19:18:00.903502,sre-team
INC-000771,CPU Saturation,0.89,GC thrashing; thread contention,Scale out horizontally; throttle batch jobs; identify runaway processes,19,2024-01-02 18:20:01.096951,on-call-eng
INC-003317,CPU Saturation,0.75,GC thrashing; infinite loop,Scale out horizontally; throttle batch jobs; identify runaway processes,20,2024-01-02 21:06:10.094858,sre-team
INC-001801,Service Crash,0.86,unhandled exception; dependency timeout cascade,Redeploy service; inspect core dumps; check dependency health,15,2024-01-02 22:32:10.061800,on-call-eng
INC-004383,Kubernetes Pod Failure,0.85,image pull error; CrashLoopBackOff,Describe pod events; check resource quotas; inspect image pull logs,26,2024-01-02 21:47:58.951246,auto-ml
INC-002195,CPU Saturation,0.75,infinite loop; thread contention,Scale out horizontally; throttle batch jobs; identify runaway processes,2,2024-01-03 03:23:29.353332,auto-ml
INC-003206,Cloud Resource Exhaustion,0.72,EBS limit; subnet capacity,Request quota increase; release idle resources; enable auto-scaling,9,2024-01-03 01:42:28.600351,sre-team
INC-001763,Service Crash,0.88,dependency timeout cascade; unhandled exception,Redeploy service; inspect core dumps; check dependency health,7,2024-01-03 01:06:52.844181,on-call-eng
INC-003156,CPU Saturation,0.78,thread contention; GC thrashing,Scale out horizontally; throttle batch jobs; identify runaway processes,10,2024-01-03 05:14:40.954406,on-call-eng
INC-000079,Memory Leak,0.72,object retention; finalizer queue buildup,Rolling restart of affected pods; increase heap limits; profile GC,14,2024-01-03 05:30:57.166678,on-call-eng
INC-000347,Disk Failure,0.99,RAID degradation; bad sectors,Replace faulty disk; restore RAID; check smart data,5,2024-01-03 05:44:43.039216,sre-team
INC-000889,Memory Leak,0.77,finalizer queue buildup; object retention,Rolling restart of affected pods; increase heap limits; profile GC,19,2024-01-03 10:29:18.883611,on-call-eng
INC-003120,Memory Leak,0.94,object retention; unbounded cache growth,Rolling restart of affected pods; increase heap limits; profile GC,7,2024-01-03 11:30:52.100244,on-call-eng
INC-002302,CPU Saturation,0.89,GC thrashing; batch job overrun,Scale out horizontally; throttle batch jobs; identify runaway processes,26,2024-01-03 08:29:06.002975,auto-ml
INC-001016,Disk Failure,0.78,filesystem corruption; bad sectors,Replace faulty disk; restore RAID; check smart data,6,2024-01-03 10:44:27.249571,auto-ml
INC-003563,Service Crash,0.69,OOM kill; dependency timeout cascade,Redeploy service; inspect core dumps; check dependency health,29,2024-01-03 09:45:05.809602,auto-ml
INC-003274,Network Failure,0.83,packet loss; BGP flap,Check BGP routes; inspect switch logs; failover to backup link,29,2024-01-03 13:32:19.533116,auto-ml
INC-002920,Cloud Resource Exhaustion,0.75,IP exhaustion; subnet capacity,Request quota increase; release idle resources; enable auto-scaling,2,2024-01-03 12:47:28.003012,on-call-eng
INC-004408,Cloud Resource Exhaustion,0.66,EBS limit; subnet capacity,Request quota increase; release idle resources; enable auto-scaling,30,2024-01-03 11:33:19.920384,on-call-eng
INC-001323,Memory Leak,0.68,finalizer queue buildup; object retention,Rolling restart of affected pods; increase heap limits; profile GC,21,2024-01-03 13:07:48.544725,on-call-eng
INC-001781,Network Failure,0.87,link congestion; BGP flap,Check BGP routes; inspect switch logs; failover to backup link,14,2024-01-03 14:41:17.328310,auto-ml
INC-004626,Cloud Resource Exhaustion,0.8,IP exhaustion; subnet capacity,Request quota increase; release idle resources; enable auto-scaling,14,2024-01-03 15:30:27.820174,auto-ml
INC-004005,Service Crash,0.94,OOM kill; dependency timeout cascade,Redeploy service; inspect core dumps; check dependency health,2,2024-01-03 19:17:14.439962,on-call-eng
INC-002823,Cloud Resource Exhaustion,0.97,EBS limit; subnet capacity,Request quota increase; release idle resources; enable auto-scaling,9,2024-01-03 19:23:54.626633,sre-team
INC-000496,Network Failure,0.86,link congestion; MTU mismatch,Check BGP routes; inspect switch logs; failover to backup link,26,2024-01-03 19:59:22.254336,sre-team
INC-000999,Cloud Resource Exhaustion,0.84,EBS limit; subnet capacity,Request quota increase; release idle resources; enable auto-scaling,11,2024-01-03 19:35:27.039237,sre-team
INC-004760,Memory Leak,0.65,finalizer queue buildup; object retention,Rolling restart of affected pods; increase heap limits; profile GC,13,2024-01-03 20:01:37.089755,sre-team
INC-002877,Service Crash,0.86,unhandled exception; dependency timeout cascade,Redeploy service; inspect core dumps; check dependency health,20,2024-01-03 23:10:08.941209,on-call-eng
INC-001394,Database Failure,0.96,deadlock cascade; replication lag,Restart DB service; check replication lag; restore from backup if needed,6,2024-01-03 22:24:06.726500,on-call-eng
INC-004978,CPU Saturation,0.82,batch job overrun; GC thrashing,Scale out horizontally; throttle batch jobs; identify runaway processes,30,2024-01-04 00:52:36.736627,auto-ml
INC-002029,Kubernetes Pod Failure,0.97,CrashLoopBackOff; image pull error,Describe pod events; check resource quotas; inspect image pull logs,26,2024-01-04 02:10:40.421016,auto-ml
INC-001912,Database Failure,0.7,deadlock cascade; query overload,Restart DB service; check replication lag; restore from backup if needed,20,2024-01-04 02:17:19.456746,on-call-eng
INC-003306,Database Failure,0.88,disk I/O saturation; replication lag,Restart DB service; check replication lag; restore from backup if needed,11,2024-01-04 05:41:52.520991,on-call-eng
INC-000950,CPU Saturation,0.71,thread contention; infinite loop,Scale out horizontally; throttle batch jobs; identify runaway processes,25,2024-01-04 05:15:11.193249,auto-ml
INC-002965,Service Crash,0.97,dependency timeout cascade; OOM kill,Redeploy service; inspect core dumps; check dependency health,7,2024-01-04 06:18:08.394442,auto-ml
INC-000041,Disk Failure,0.81,bad sectors; RAID degradation,Replace faulty disk; restore RAID; check smart data,4,2024-01-04 06:12:56.709797,on-call-eng
INC-002040,Cloud Resource Exhaustion,0.73,EBS limit; vCPU quota hit,Request quota increase; release idle resources; enable auto-scaling,26,2024-01-04 05:22:43.163384,auto-ml
INC-001909,Service Crash,0.72,dependency timeout cascade; unhandled exception,Redeploy service; inspect core dumps; check dependency health,26,2024-01-04 07:15:10.069131,auto-ml
INC-001925,Database Failure,0.79,query overload; disk I/O saturation,Restart DB service; check replication lag; restore from backup if needed,19,2024-01-04 06:52:47.441265,sre-team
INC-003524,Cloud Resource Exhaustion,0.81,subnet capacity; EBS limit,Request quota increase; release idle resources; enable auto-scaling,8,2024-01-04 08:28:41.719896,auto-ml
INC-001359,Cloud Resource Exhaustion,0.72,EBS limit; subnet capacity,Request quota increase; release idle resources; enable auto-scaling,1,2024-01-04 07:58:12.188367,on-call-eng
INC-000893,Service Crash,0.82,dependency timeout cascade; unhandled exception,Redeploy service; inspect core dumps; check dependency health,20,2024-01-04 09:22:53.034341,auto-ml
INC-003388,Cloud Resource Exhaustion,0.88,vCPU quota hit; IP exhaustion,Request quota increase; release idle resources; enable auto-scaling,11,2024-01-04 10:05:21.502398,on-call-eng
INC-002951,Disk Failure,0.84,filesystem corruption; RAID degradation,Replace faulty disk; restore RAID; check smart data,15,2024-01-04 09:16:40.155122,auto-ml
INC-003508,Database Failure,0.85,query overload; disk I/O saturation,Restart DB service; check replication lag; restore from backup if needed,21,2024-01-04 16:14:57.239388,sre-team
INC-000478,Service Crash,0.78,unhandled exception; OOM kill,Redeploy service; inspect core dumps; check dependency health,11,2024-01-04 10:07:34.127887,on-call-eng
INC-004296,Disk Failure,0.84,filesystem corruption; bad sectors,Replace faulty disk; restore RAID; check smart data,24,2024-01-04 13:46:30.288226,sre-team
INC-002190,Network Failure,0.88,packet loss; link congestion,Check BGP routes; inspect switch logs; failover to backup link,13,2024-01-04 12:09:01.510153,auto-ml
INC-000676,Service Crash,0.82,unhandled exception; OOM kill,Redeploy service; inspect core dumps; check dependency health,25,2024-01-04 15:48:26.347207,auto-ml
INC-001056,Cloud Resource Exhaustion,0.91,IP exhaustion; vCPU quota hit,Request quota increase; release idle resources; enable auto-scaling,6,2024-01-04 15:31:21.180297,on-call-eng
INC-003258,Network Failure,0.83,MTU mismatch; packet loss,Check BGP routes; inspect switch logs; failover to backup link,15,2024-01-04 15:27:49.394241,sre-team
INC-001115,Network Failure,0.79,MTU mismatch; packet loss,Check BGP routes; inspect switch logs; failover to backup link,27,2024-01-04 14:51:37.248466,auto-ml
INC-003538,CPU Saturation,0.69,GC thrashing; batch job overrun,Scale out horizontally; throttle batch jobs; identify runaway processes,27,2024-01-04 17:19:12.043785,sre-team
INC-001559,Network Failure,0.66,link congestion; BGP flap,Check BGP routes; inspect switch logs; failover to backup link,5,2024-01-04 16:52:49.066039,on-call-eng
INC-003402,Memory Leak,0.97,unbounded cache growth; finalizer queue buildup,Rolling restart of affected pods; increase heap limits; profile GC,8,2024-01-04 21:03:51.260471,sre-team
INC-002259,CPU Saturation,0.98,infinite loop; GC thrashing,Scale out horizontally; throttle batch jobs; identify runaway processes,26,2024-01-04 19:52:31.189060,auto-ml
INC-002549,Disk Failure,0.91,filesystem corruption; RAID degradation,Replace faulty disk; restore RAID; check smart data,21,2024-01-05 00:56:05.726784,auto-ml
INC-001609,Service Crash,0.75,unhandled exception; OOM kill,Redeploy service; inspect core dumps; check dependency health,26,2024-01-05 05:21:33.823194,auto-ml
INC-003998,Database Failure,0.79,disk I/O saturation; deadlock cascade,Restart DB service; check replication lag; restore from backup if needed,16,2024-01-05 02:37:04.385709,sre-team
INC-003943,Cloud Resource Exhaustion,0.83,EBS limit; subnet capacity,Request quota increase; release idle resources; enable auto-scaling,24,2024-01-05 01:13:57.508220,on-call-eng
INC-002736,Network Failure,0.89,link congestion; packet loss,Check BGP routes; inspect switch logs; failover to backup link,15,2024-01-05 03:35:16.521605,on-call-eng
INC-003638,Kubernetes Pod Failure,0.67,OOMKilled; image pull error,Describe pod events; check resource quotas; inspect image pull logs,23,2024-01-05 05:19:26.096907,auto-ml
INC-004391,Database Failure,0.9,disk I/O saturation; query overload,Restart DB service; check replication lag; restore from backup if needed,25,2024-01-05 03:44:40.188471,on-call-eng
INC-001396,CPU Saturation,0.95,batch job overrun; thread contention,Scale out horizontally; throttle batch jobs; identify runaway processes,19,2024-01-05 04:23:37.628375,auto-ml
INC-001209,Cloud Resource Exhaustion,0.99,EBS limit; IP exhaustion,Request quota increase; release idle resources; enable auto-scaling,30,2024-01-05 04:46:23.993453,auto-ml
INC-004448,Memory Leak,0.72,unbounded cache growth; object retention,Rolling restart of affected pods; increase heap limits; profile GC,25,2024-01-05 05:01:38.743966,auto-ml
INC-000301,Service Crash,0.88,unhandled exception; OOM kill,Redeploy service; inspect core dumps; check dependency health,30,2024-01-05 07:58:52.455628,auto-ml
INC-004733,Kubernetes Pod Failure,0.92,image pull error; OOMKilled,Describe pod events; check resource quotas; inspect image pull logs,21,2024-01-05 08:39:58.432280,auto-ml
INC-003593,Service Crash,0.8,dependency timeout cascade; OOM kill,Redeploy service; inspect core dumps; check dependency health,14,2024-01-05 07:46:39.735289,sre-team
INC-002107,Cloud Resource Exhaustion,0.74,subnet capacity; EBS limit,Request quota increase; release idle resources; enable auto-scaling,6,2024-01-05 12:18:52.499466,on-call-eng
INC-002268,Disk Failure,0.7,filesystem corruption; RAID degradation,Replace faulty disk; restore RAID; check smart data,21,2024-01-05 09:29:00.887271,sre-team
INC-000256,Memory Leak,0.69,object retention; unbounded cache growth,Rolling restart of affected pods; increase heap limits; profile GC,17,2024-01-05 09:14:49.825851,on-call-eng
INC-004367,CPU Saturation,0.74,thread contention; batch job overrun,Scale out horizontally; throttle batch jobs; identify runaway processes,18,2024-01-05 08:39:01.533832,sre-team
INC-001432,Database Failure,0.92,disk I/O saturation; replication lag,Restart DB service; check replication lag; restore from backup if needed,21,2024-01-05 10:38:30.023755,on-call-eng
INC-000497,Network Failure,0.88,BGP flap; packet loss,Check BGP routes; inspect switch logs; failover to backup link,10,2024-01-05 13:25:13.522350,auto-ml
INC-000926,Service Crash,0.76,unhandled exception; OOM kill,Redeploy service; inspect core dumps; check dependency health,13,2024-01-05 13:03:36.711120,sre-team
INC-003445,Network Failure,0.78,link congestion; packet loss,Check BGP routes; inspect switch logs; failover to backup link,29,2024-01-05 14:09:58.531978,auto-ml
INC-001265,Database Failure,0.86,replication lag; query overload,Restart DB service; check replication lag; restore from backup if needed,24,2024-01-05 12:00:27.789342,sre-team
INC-003490,Service Crash,0.97,dependency timeout cascade; unhandled exception,Redeploy service; inspect core dumps; check dependency health,30,2024-01-05 14:02:33.042547,on-call-eng
INC-004347,Cloud Resource Exhaustion,0.67,IP exhaustion; subnet capacity,Request quota increase; release idle resources; enable auto-scaling,17,2024-01-05 15:40:21.068363,sre-team
INC-003558,Disk Failure,0.68,RAID degradation; filesystem corruption,Replace faulty disk; restore RAID; check smart data,24,2024-01-05 16:53:16.900701,on-call-eng
INC-003478,Kubernetes Pod Failure,0.77,evicted by kubelet; OOMKilled,Describe pod events; check resource quotas; inspect image pull logs,22,2024-01-05 18:59:07.283544,on-call-eng
INC-002303,Disk Failure,0.94,RAID degradation; bad sectors,Replace faulty disk; restore RAID; check smart data,2,2024-01-05 19:29:09.117585,auto-ml
INC-002126,Kubernetes Pod Failure,0.76,CrashLoopBackOff; evicted by kubelet,Describe pod events; check resource quotas; inspect image pull logs,25,2024-01-06 01:02:06.547666,sre-team
INC-004041,Network Failure,0.86,packet loss; link congestion,Check BGP routes; inspect switch logs; failover to backup link,22,2024-01-05 20:15:04.232758,auto-ml
INC-003645,CPU Saturation,0.94,GC thrashing; batch job overrun,Scale out horizontally; throttle batch jobs; identify runaway processes,3,2024-01-05 21:24:13.189290,sre-team
INC-003292,Kubernetes Pod Failure,0.88,image pull error; OOMKilled,Describe pod events; check resource quotas; inspect image pull logs,14,2024-01-06 00:47:48.256821,on-call-eng
INC-003272,Cloud Resource Exhaustion,0.74,subnet capacity; EBS limit,Request quota increase; release idle resources; enable auto-scaling,9,2024-01-05 21:49:42.306986,on-call-eng
INC-002609,CPU Saturation,0.76,batch job overrun; infinite loop,Scale out horizontally; throttle batch jobs; identify runaway processes,26,2024-01-06 06:18:19.830626,auto-ml
INC-003922,Database Failure,0.74,query overload; replication lag,Restart DB service; check replication lag; restore from backup if needed,16,2024-01-05 23:35:58.801117,auto-ml
INC-004532,Service Crash,0.98,OOM kill; unhandled exception,Redeploy service; inspect core dumps; check dependency health,17,2024-01-06 02:54:56.450637,sre-team
INC-000179,Service Crash,0.78,unhandled exception; OOM kill,Redeploy service; inspect core dumps; check dependency health,30,2024-01-06 05:57:45.337614,auto-ml
INC-001445,Memory Leak,0.94,unbounded cache growth; finalizer queue buildup,Rolling restart of affected pods; increase heap limits; profile GC,30,2024-01-06 01:21:34.248849,sre-team
INC-001542,Network Failure,0.72,packet loss; MTU mismatch,Check BGP routes; inspect switch logs; failover to backup link,5,2024-01-06 03:26:09.679446,auto-ml
INC-004507,Database Failure,0.9,disk I/O saturation; query overload,Restart DB service; check replication lag; restore from backup if needed,24,2024-01-06 04:44:28.947931,sre-team
INC-004187,Service Crash,0.82,unhandled exception; OOM kill,Redeploy service; inspect core dumps; check dependency health,19,2024-01-06 09:48:06.421297,auto-ml
INC-001954,Kubernetes Pod Failure,0.91,evicted by kubelet; OOMKilled,Describe pod events; check resource quotas; inspect image pull logs,9,2024-01-06 07:14:44.993610,on-call-eng
INC-001385,Memory Leak,0.99,object retention; finalizer queue buildup,Rolling restart of affected pods; increase heap limits; profile GC,12,2024-01-06 08:13:49.713821,sre-team
INC-004633,Cloud Resource Exhaustion,0.87,vCPU quota hit; IP exhaustion,Request quota increase; release idle resources; enable auto-scaling,25,2024-01-06 07:44:43.873274,on-call-eng
INC-004000,Network Failure,0.72,link congestion; BGP flap,Check BGP routes; inspect switch logs; failover to backup link,19,2024-01-06 06:56:28.317072,sre-team
INC-001177,CPU Saturation,0.98,thread contention; batch job overrun,Scale out horizontally; throttle batch jobs; identify runaway processes,30,2024-01-06 07:11:46.715537,on-call-eng
INC-002615,Memory Leak,0.94,object retention; finalizer queue buildup,Rolling restart of affected pods; increase heap limits; profile GC,25,2024-01-06 07:44:02.254112,auto-ml
INC-001787,Memory Leak,0.8,unbounded cache growth; object retention,Rolling restart of affected pods; increase heap limits; profile GC,6,2024-01-06 08:15:36.658445,sre-team
INC-002627,Kubernetes Pod Failure,0.98,OOMKilled; evicted by kubelet,Describe pod events; check resource quotas; inspect image pull logs,7,2024-01-06 07:37:02.108402,sre-team
INC-000028,Kubernetes Pod Failure,0.89,evicted by kubelet; CrashLoopBackOff,Describe pod events; check resource quotas; inspect image pull logs,19,2024-01-06 08:33:21.960889,sre-team
INC-001154,Database Failure,0.96,query overload; deadlock cascade,Restart DB service; check replication lag; restore from backup if needed,19,2024-01-06 15:41:09.234830,sre-team
INC-000607,Cloud Resource Exhaustion,0.78,subnet capacity; IP exhaustion,Request quota increase; release idle resources; enable auto-scaling,21,2024-01-06 10:05:18.024933,sre-team
INC-000039,Cloud Resource Exhaustion,0.81,subnet capacity; vCPU quota hit,Request quota increase; release idle resources; enable auto-scaling,12,2024-01-06 09:21:26.765280,auto-ml
INC-001001,Network Failure,0.67,link congestion; BGP flap,Check BGP routes; inspect switch logs; failover to backup link,20,2024-01-06 10:29:56.074975,on-call-eng
INC-001469,Database Failure,0.84,disk I/O saturation; replication lag,Restart DB service; check replication lag; restore from backup if needed,30,2024-01-06 11:21:16.680664,on-call-eng
INC-002817,Disk Failure,0.86,filesystem corruption; RAID degradation,Replace faulty disk; restore RAID; check smart data,29,2024-01-06 13:14:59.535235,sre-team
INC-001786,Kubernetes Pod Failure,0.71,CrashLoopBackOff; evicted by kubelet,Describe pod events; check resource quotas; inspect image pull logs,3,2024-01-06 16:17:52.931915,on-call-eng
INC-000184,CPU Saturation,0.96,GC thrashing; infinite loop,Scale out horizontally; throttle batch jobs; identify runaway processes,1,2024-01-06 15:46:51.414134,sre-team
INC-000131,Cloud Resource Exhaustion,0.88,EBS limit; subnet capacity,Request quota increase; release idle resources; enable auto-scaling,17,2024-01-06 14:11:36.506759,auto-ml
INC-001497,Cloud Resource Exhaustion,0.69,vCPU quota hit; EBS limit,Request quota increase; release idle resources; enable auto-scaling,11,2024-01-06 17:49:58.741262,on-call-eng
INC-000996,Database Failure,0.98,query overload; replication lag,Restart DB service; check replication lag; restore from backup if needed,5,2024-01-06 16:59:45.951663,on-call-eng
INC-002139,Network Failure,0.9,packet loss; link congestion,Check BGP routes; inspect switch logs; failover to backup link,9,2024-01-06 17:55:06.337527,on-call-eng
INC-001804,Cloud Resource Exhaustion,0.99,subnet capacity; EBS limit,Request quota increase; release idle resources; enable auto-scaling,29,2024-01-06 16:59:55.035453,on-call-eng
INC-000753,Disk Failure,0.97,bad sectors; RAID degradation,Replace faulty disk; restore RAID; check smart data,14,2024-01-06 20:05:16.544697,on-call-eng
INC-001865,Network Failure,0.91,link congestion; MTU mismatch,Check BGP routes; inspect switch logs; failover to backup link,13,2024-01-06 19:21:34.730108,sre-team
INC-002163,Service Crash,0.82,unhandled exception; OOM kill,Redeploy service; inspect core dumps; check dependency health,3,2024-01-06 20:16:35.720786,on-call-eng
INC-002497,Database Failure,0.67,deadlock cascade; query overload,Restart DB service; check replication lag; restore from backup if needed,7,2024-01-06 20:10:28.544089,sre-team
INC-003673,Memory Leak,0.78,finalizer queue buildup; unbounded cache growth,Rolling restart of affected pods; increase heap limits; profile GC,9,2024-01-06 20:47:44.145935,auto-ml
INC-000173,Network Failure,0.91,BGP flap; link congestion,Check BGP routes; inspect switch logs; failover to backup link,13,2024-01-06 21:04:07.265853,on-call-eng
INC-002346,CPU Saturation,0.9,batch job overrun; GC thrashing,Scale out horizontally; throttle batch jobs; identify runaway processes,20,2024-01-06 23:22:02.588615,sre-team
INC-001741,Service Crash,0.65,OOM kill; dependency timeout cascade,Redeploy service; inspect core dumps; check dependency health,1,2024-01-07 00:09:37.899038,on-call-eng
INC-002604,CPU Saturation,0.73,batch job overrun; infinite loop,Scale out horizontally; throttle batch jobs; identify runaway processes,15,2024-01-07 02:18:48.351601,sre-team
INC-002592,Cloud Resource Exhaustion,0.86,IP exhaustion; EBS limit,Request quota increase; release idle resources; enable auto-scaling,20,2024-01-07 02:51:36.242398,on-call-eng
