timestamp,alert_id,rule_name,metric,value,threshold,severity,service,host,tower,status,duration_min
2024-01-01 19:26:19.339916,ALT-009559,CloudQuotaExhausted,quota_pct,100.11,90,P3 Medium,reporting-service,host-002,Cloud,firing,121
2024-01-01 19:59:57.142065,ALT-004656,HighLatency,latency_ms,2054.95,1000,P1 Critical,reporting-service,host-032,Application,firing,196
2024-01-01 20:10:19.805452,ALT-005297,LowNetworkThroughput,net_in_mbps,10.83,10,P4 Low,order-service,host-035,Network,firing,227
2024-01-01 20:12:41.219954,ALT-011782,NetworkPacketLoss,packet_loss_pct,6.29,5,P3 Medium,auth-service,host-039,Network,firing,213
2024-01-01 20:18:39.870682,ALT-012503,CloudQuotaExhausted,quota_pct,129.71,90,P2 High,cache-cluster,host-034,Cloud,firing,120
2024-01-01 20:43:13.119249,ALT-006253,CloudQuotaExhausted,quota_pct,107.72,90,P3 Medium,message-broker,host-042,Cloud,firing,231
2024-01-01 20:43:18.762070,ALT-007968,NetworkPacketLoss,packet_loss_pct,4.81,5,P4 Low,auth-service,host-004,Network,firing,220
2024-01-01 21:04:04.466257,ALT-015447,HighMemory,memory_util,88.22,85,P4 Low,reporting-service,host-011,Compute,firing,83
2024-01-01 21:20:55.788396,ALT-001197,CloudQuotaExhausted,quota_pct,128.3,90,P2 High,message-broker,host-004,Cloud,resolved,195
2024-01-01 21:30:29.148600,ALT-016968,NetworkPacketLoss,packet_loss_pct,5.12,5,P4 Low,inventory-api,host-037,Network,resolved,48
2024-01-01 21:59:08.587925,ALT-011343,DBConnectionPool,connection_pct,77.4,80,P4 Low,message-broker,host-041,Database,resolved,125
2024-01-01 22:03:04.701900,ALT-010554,HighCPU,cpu_util,72.71,80,P4 Low,reporting-service,host-015,Compute,firing,45
2024-01-01 22:04:23.145932,ALT-016102,LowRequestRate,request_rate,10.48,10,P4 Low,api-gateway,host-027,Application,firing,180
2024-01-01 22:09:44.677090,ALT-006161,HighCPU,cpu_util,89.49,80,P3 Medium,auth-service,host-049,Compute,resolved,73
2024-01-01 22:20:15.640308,ALT-006437,DBConnectionPool,connection_pct,112.71,80,P2 High,analytics-engine,host-021,Database,firing,221
2024-01-01 22:23:15.722880,ALT-005007,LowRequestRate,request_rate,10.2,10,P4 Low,auth-service,host-026,Application,firing,139
2024-01-01 22:28:07.657332,ALT-002996,LowNetworkThroughput,net_in_mbps,25.72,10,P1 Critical,analytics-engine,host-010,Network,resolved,148
2024-01-01 22:37:18.272850,ALT-015636,PodCrashLoop,restart_count,3.62,3,P3 Medium,api-gateway,host-006,Cloud,firing,218
2024-01-01 22:45:55.247556,ALT-018280,HighLatency,latency_ms,1086.18,1000,P4 Low,message-broker,host-028,Application,resolved,13
2024-01-01 22:54:36.671653,ALT-006877,PodCrashLoop,restart_count,3.81,3,P3 Medium,message-broker,host-004,Cloud,firing,39
2024-01-01 23:13:27.291216,ALT-012152,HighMemory,memory_util,93.03,85,P4 Low,inventory-api,host-019,Compute,firing,148
2024-01-01 23:42:43.371185,ALT-013716,DBConnectionPool,connection_pct,190.85,80,P1 Critical,notification-service,host-047,Database,firing,217
2024-01-01 23:53:44.050140,ALT-003716,HighMemory,memory_util,88.87,85,P4 Low,auth-service,host-037,Compute,firing,159
2024-01-01 23:58:09.809607,ALT-002404,HighErrorRate,error_rate,5.4,5,P4 Low,order-service,host-038,Application,firing,117
2024-01-02 00:15:10.279357,ALT-016270,NetworkPacketLoss,packet_loss_pct,6.12,5,P3 Medium,payment-gateway,host-023,Network,firing,101
2024-01-02 00:33:42.106171,ALT-010286,LowNetworkThroughput,net_in_mbps,15.13,10,P2 High,auth-service,host-029,Network,resolved,178
2024-01-02 00:36:26.122717,ALT-008355,HighErrorRate,error_rate,4.78,5,P4 Low,message-broker,host-004,Application,resolved,68
2024-01-02 00:38:16.951448,ALT-009574,HighLatency,latency_ms,1565.21,1000,P2 High,payment-gateway,host-034,Application,firing,198
2024-01-02 00:44:35.923256,ALT-002546,HighGCPause,gc_pause_ms,489.64,500,P4 Low,inventory-api,host-015,Application,resolved,78
2024-01-02 00:46:09.611567,ALT-019719,DiskFull,disk_util,207.25,90,P1 Critical,inventory-api,host-050,Storage,firing,89
2024-01-02 00:55:17.511841,ALT-012248,DBConnectionPool,connection_pct,173.47,80,P1 Critical,notification-service,host-003,Database,resolved,106
2024-01-02 02:07:33.683568,ALT-008117,HighGCPause,gc_pause_ms,454.11,500,P4 Low,order-service,host-006,Application,firing,91
2024-01-02 02:20:15.525824,ALT-014252,HighCPU,cpu_util,180.3,80,P1 Critical,payment-gateway,host-045,Compute,firing,165
2024-01-02 02:21:42.800971,ALT-006800,HighGCPause,gc_pause_ms,575.88,500,P3 Medium,inventory-api,host-023,Application,firing,154
2024-01-02 02:30:38.640309,ALT-015956,DBConnectionPool,connection_pct,92.56,80,P3 Medium,auth-service,host-050,Database,resolved,72
2024-01-02 02:49:20.739991,ALT-015376,HighLatency,latency_ms,2128.25,1000,P1 Critical,reporting-service,host-049,Application,resolved,47
2024-01-02 02:51:08.183521,ALT-004248,LowRequestRate,request_rate,15.43,10,P2 High,notification-service,host-039,Application,firing,119
2024-01-02 02:52:54.016849,ALT-015519,HighMemory,memory_util,219.97,85,P1 Critical,auth-service,host-009,Compute,resolved,59
2024-01-02 02:54:17.774230,ALT-016869,NetworkPacketLoss,packet_loss_pct,4.77,5,P4 Low,inventory-api,host-040,Network,firing,171
2024-01-02 03:04:06.808232,ALT-016078,HighCPU,cpu_util,109.91,80,P3 Medium,order-service,host-018,Compute,resolved,148
2024-01-02 03:21:41.601384,ALT-000177,PodCrashLoop,restart_count,6.88,3,P1 Critical,inventory-api,host-050,Cloud,firing,68
2024-01-02 03:31:28.058049,ALT-016845,HighErrorRate,error_rate,6.01,5,P3 Medium,analytics-engine,host-023,Application,resolved,20
2024-01-02 03:45:51.644312,ALT-019123,DBConnectionPool,connection_pct,87.16,80,P4 Low,payment-gateway,host-004,Database,resolved,37
2024-01-02 03:53:19.679515,ALT-006513,LowNetworkThroughput,net_in_mbps,18.18,10,P1 Critical,auth-service,host-048,Network,firing,157
2024-01-02 04:05:24.340149,ALT-012191,LowNetworkThroughput,net_in_mbps,15.47,10,P2 High,inventory-api,host-002,Network,firing,204
2024-01-02 04:54:48.524073,ALT-005056,HighLatency,latency_ms,2080.04,1000,P1 Critical,order-service,host-024,Application,firing,48
2024-01-02 05:18:18.560075,ALT-011172,DiskFull,disk_util,130.93,90,P2 High,inventory-api,host-048,Storage,resolved,157
2024-01-02 05:25:33.649503,ALT-017385,HighGCPause,gc_pause_ms,548.28,500,P4 Low,api-gateway,host-011,Application,resolved,2
2024-01-02 05:32:03.129877,ALT-008194,HighCPU,cpu_util,97.63,80,P3 Medium,auth-service,host-009,Compute,firing,101
2024-01-02 07:36:57.058655,ALT-016640,HighGCPause,gc_pause_ms,476.03,500,P4 Low,inventory-api,host-031,Application,resolved,8
2024-01-02 07:37:24.043957,ALT-007814,HighCPU,cpu_util,123.42,80,P2 High,reporting-service,host-032,Compute,firing,128
2024-01-02 07:39:23.553701,ALT-011607,HighGCPause,gc_pause_ms,579.16,500,P3 Medium,payment-gateway,host-002,Application,firing,191
2024-01-02 07:44:44.994897,ALT-005538,HighLatency,latency_ms,1391.63,1000,P3 Medium,reporting-service,host-038,Application,firing,12
2024-01-02 07:59:24.796618,ALT-008833,CloudQuotaExhausted,quota_pct,93.71,90,P4 Low,payment-gateway,host-046,Cloud,firing,42
2024-01-02 08:05:21.946679,ALT-003795,LowRequestRate,request_rate,11.61,10,P3 Medium,notification-service,host-036,Application,firing,136
2024-01-02 08:06:10.192001,ALT-013387,LowNetworkThroughput,net_in_mbps,10.37,10,P4 Low,auth-service,host-029,Network,firing,124
2024-01-02 08:20:34.006576,ALT-014386,DiskFull,disk_util,139.37,90,P2 High,notification-service,host-001,Storage,resolved,3
2024-01-02 08:53:19.508243,ALT-011990,HighErrorRate,error_rate,12.36,5,P1 Critical,inventory-api,host-038,Application,firing,151
2024-01-02 09:20:12.823432,ALT-016042,CloudQuotaExhausted,quota_pct,211.36,90,P1 Critical,cache-cluster,host-048,Cloud,firing,205
2024-01-02 09:23:40.002527,ALT-019495,DiskFull,disk_util,116.1,90,P3 Medium,notification-service,host-003,Storage,firing,38
2024-01-02 09:38:23.045929,ALT-000219,NetworkPacketLoss,packet_loss_pct,4.85,5,P4 Low,api-gateway,host-028,Network,firing,3
2024-01-02 09:46:27.939282,ALT-003033,CloudQuotaExhausted,quota_pct,130.15,90,P2 High,api-gateway,host-049,Cloud,resolved,7
2024-01-02 09:58:19.518308,ALT-016555,HighLatency,latency_ms,1910.64,1000,P1 Critical,cache-cluster,host-014,Application,firing,117
2024-01-02 10:08:31.077686,ALT-011392,HighErrorRate,error_rate,12.15,5,P1 Critical,notification-service,host-003,Application,resolved,117
2024-01-02 10:14:07.656583,ALT-006352,LowRequestRate,request_rate,10.1,10,P4 Low,payment-gateway,host-023,Application,firing,177
2024-01-02 10:26:38.034195,ALT-006550,HighMemory,memory_util,208.38,85,P1 Critical,notification-service,host-013,Compute,firing,202
2024-01-02 10:30:03.898478,ALT-016700,DiskFull,disk_util,140.47,90,P2 High,order-service,host-009,Storage,firing,215
2024-01-02 10:40:31.366421,ALT-010970,HighGCPause,gc_pause_ms,709.41,500,P2 High,message-broker,host-011,Application,firing,64
2024-01-02 11:11:10.818889,ALT-008088,PodCrashLoop,restart_count,4.07,3,P3 Medium,notification-service,host-018,Cloud,resolved,164
2024-01-02 11:21:09.246631,ALT-017348,PodCrashLoop,restart_count,3.85,3,P3 Medium,order-service,host-009,Cloud,resolved,76
2024-01-02 11:37:14.673679,ALT-016413,NetworkPacketLoss,packet_loss_pct,7.81,5,P2 High,cache-cluster,host-043,Network,resolved,162
2024-01-02 11:42:24.507507,ALT-010243,DBConnectionPool,connection_pct,163.07,80,P1 Critical,notification-service,host-035,Database,firing,69
2024-01-02 11:53:12.914275,ALT-006227,DiskFull,disk_util,101.62,90,P3 Medium,message-broker,host-029,Storage,firing,175
2024-01-02 12:00:08.174424,ALT-001252,CloudQuotaExhausted,quota_pct,164.97,90,P1 Critical,message-broker,host-004,Cloud,resolved,200
2024-01-02 13:06:12.359118,ALT-008547,DiskFull,disk_util,221.62,90,P1 Critical,order-service,host-008,Storage,firing,124
2024-01-02 13:09:07.436007,ALT-017478,HighErrorRate,error_rate,5.02,5,P4 Low,payment-gateway,host-016,Application,firing,106
2024-01-02 13:20:32.934610,ALT-019423,NetworkPacketLoss,packet_loss_pct,9.52,5,P1 Critical,inventory-api,host-014,Network,firing,207
2024-01-02 13:39:27.233856,ALT-017827,DBConnectionPool,connection_pct,162.52,80,P1 Critical,analytics-engine,host-030,Database,firing,87
2024-01-02 13:39:41.185409,ALT-003808,DBConnectionPool,connection_pct,85.65,80,P4 Low,api-gateway,host-023,Database,resolved,230
2024-01-02 13:41:53.119264,ALT-000394,DBConnectionPool,connection_pct,85.5,80,P4 Low,inventory-api,host-003,Database,resolved,172
2024-01-02 13:43:21.796858,ALT-019045,HighLatency,latency_ms,1150.86,1000,P3 Medium,message-broker,host-004,Application,firing,207
2024-01-02 14:04:45.017605,ALT-006386,HighCPU,cpu_util,86.95,80,P4 Low,auth-service,host-002,Compute,resolved,128
2024-01-02 14:11:03.263252,ALT-015082,HighLatency,latency_ms,2071.53,1000,P1 Critical,reporting-service,host-009,Application,resolved,109
2024-01-02 14:19:39.440225,ALT-014854,DiskFull,disk_util,91.65,90,P4 Low,auth-service,host-005,Storage,firing,223
2024-01-02 14:31:07.459813,ALT-015031,HighErrorRate,error_rate,9.93,5,P1 Critical,order-service,host-023,Application,firing,16
2024-01-02 14:40:47.823627,ALT-011155,HighMemory,memory_util,202.51,85,P1 Critical,analytics-engine,host-043,Compute,firing,68
2024-01-02 14:41:55.841359,ALT-013466,NetworkPacketLoss,packet_loss_pct,6.89,5,P3 Medium,api-gateway,host-009,Network,firing,81
2024-01-02 15:00:54.120091,ALT-011295,HighCPU,cpu_util,217.66,80,P1 Critical,api-gateway,host-021,Compute,resolved,16
2024-01-02 15:02:29.974856,ALT-012571,DBConnectionPool,connection_pct,130.53,80,P2 High,notification-service,host-030,Database,resolved,105
2024-01-02 15:05:20.192415,ALT-006873,LowRequestRate,request_rate,15.76,10,P2 High,inventory-api,host-041,Application,firing,2
2024-01-02 15:08:49.224973,ALT-009507,NetworkPacketLoss,packet_loss_pct,12.69,5,P1 Critical,cache-cluster,host-026,Network,resolved,109
2024-01-02 15:13:18.447180,ALT-012587,HighErrorRate,error_rate,4.5,5,P4 Low,order-service,host-016,Application,resolved,179
2024-01-02 15:15:10.114341,ALT-008126,DBConnectionPool,connection_pct,188.41,80,P1 Critical,notification-service,host-008,Database,resolved,34
2024-01-02 16:09:24.344265,ALT-006843,CloudQuotaExhausted,quota_pct,111.91,90,P3 Medium,auth-service,host-020,Cloud,firing,71
2024-01-02 16:10:27.343339,ALT-007714,HighErrorRate,error_rate,10.78,5,P1 Critical,message-broker,host-049,Application,resolved,29
2024-01-02 16:16:22.032909,ALT-003123,LowRequestRate,request_rate,16.32,10,P2 High,cache-cluster,host-030,Application,firing,18
2024-01-02 16:19:17.583643,ALT-019848,HighLatency,latency_ms,1431.45,1000,P2 High,cache-cluster,host-038,Application,firing,15
2024-01-02 16:26:15.060775,ALT-014732,DBConnectionPool,connection_pct,76.47,80,P4 Low,reporting-service,host-025,Database,firing,36
2024-01-02 16:30:56.548724,ALT-000261,HighMemory,memory_util,84.8,85,P4 Low,auth-service,host-049,Compute,resolved,20
2024-01-02 16:36:26.154499,ALT-016367,HighCPU,cpu_util,74.23,80,P4 Low,inventory-api,host-006,Compute,firing,152
2024-01-02 16:48:44.599668,ALT-000992,DBConnectionPool,connection_pct,174.58,80,P1 Critical,payment-gateway,host-010,Database,firing,198
2024-01-02 16:56:17.845688,ALT-013960,CloudQuotaExhausted,quota_pct,129.01,90,P2 High,api-gateway,host-036,Cloud,resolved,110
2024-01-02 17:15:13.073377,ALT-008785,HighMemory,memory_util,98.73,85,P3 Medium,inventory-api,host-030,Compute,firing,196
2024-01-02 17:18:27.245618,ALT-010975,HighMemory,memory_util,77.46,85,P4 Low,auth-service,host-049,Compute,firing,67
2024-01-02 17:20:57.125527,ALT-001663,PodCrashLoop,restart_count,7.5,3,P1 Critical,order-service,host-007,Cloud,firing,52
2024-01-02 17:45:39.896385,ALT-010345,LowRequestRate,request_rate,9.91,10,P4 Low,payment-gateway,host-003,Application,resolved,62
2024-01-02 17:53:17.821983,ALT-015208,CloudQuotaExhausted,quota_pct,108.02,90,P3 Medium,analytics-engine,host-006,Cloud,firing,175
2024-01-02 18:34:47.865667,ALT-001263,LowNetworkThroughput,net_in_mbps,13.2,10,P3 Medium,analytics-engine,host-047,Network,resolved,222
2024-01-02 18:50:42.154236,ALT-001730,DiskFull,disk_util,81.82,90,P4 Low,notification-service,host-008,Storage,firing,148
2024-01-02 19:12:55.026596,ALT-008693,CloudQuotaExhausted,quota_pct,103.18,90,P3 Medium,message-broker,host-047,Cloud,firing,166
2024-01-02 19:32:20.010829,ALT-014134,HighMemory,memory_util,118.21,85,P3 Medium,reporting-service,host-031,Compute,firing,14
2024-01-02 20:12:27.865558,ALT-018594,HighGCPause,gc_pause_ms,646.27,500,P3 Medium,auth-service,host-036,Application,firing,48
2024-01-02 20:16:17.758691,ALT-010156,DiskFull,disk_util,220.62,90,P1 Critical,reporting-service,host-019,Storage,firing,159
2024-01-02 20:45:38.542737,ALT-003171,HighMemory,memory_util,229.82,85,P1 Critical,inventory-api,host-004,Compute,firing,85
2024-01-02 21:14:39.465514,ALT-016635,NetworkPacketLoss,packet_loss_pct,5.49,5,P4 Low,analytics-engine,host-044,Network,firing,148
2024-01-02 21:19:24.289026,ALT-009487,HighCPU,cpu_util,152.23,80,P1 Critical,order-service,host-036,Compute,firing,237
2024-01-02 21:20:09.979694,ALT-001813,DBConnectionPool,connection_pct,205.08,80,P1 Critical,payment-gateway,host-003,Database,firing,233
2024-01-02 21:27:06.890238,ALT-002511,LowRequestRate,request_rate,13.55,10,P3 Medium,notification-service,host-025,Application,firing,85
2024-01-02 21:27:23.983726,ALT-016007,NetworkPacketLoss,packet_loss_pct,7.59,5,P2 High,reporting-service,host-038,Network,firing,119
2024-01-02 21:35:18.204973,ALT-006101,HighCPU,cpu_util,86.89,80,P4 Low,auth-service,host-019,Compute,firing,238
2024-01-02 22:01:14.647028,ALT-018384,HighGCPause,gc_pause_ms,647.44,500,P3 Medium,auth-service,host-048,Application,firing,138
2024-01-02 22:06:38.212397,ALT-001017,DiskFull,disk_util,84.92,90,P4 Low,notification-service,host-002,Storage,resolved,200
2024-01-02 22:18:25.170066,ALT-019895,HighCPU,cpu_util,148.69,80,P1 Critical,cache-cluster,host-035,Compute,firing,57
